geo,MD,Z_VO,VO,Gruppo_descrittivo
Finland,1.6605986655581282,2.9805926554917592,42.2,"Alta maturità, Alta vulnerabilità"
Denmark,1.5419768688430904,-0.11033012977811145,19.02,"Best performers (Alta maturità, Bassa vulnerabilità)"
Belgium,1.4013074676582236,0.32437255701998097,22.28,"Alta maturità, Alta vulnerabilità"
Malta,1.3070307382815942,1.1817769361953592,28.71,"Alta maturità, Alta vulnerabilità"
Netherlands,1.1659099746974537,0.7870775641332876,25.75,"Alta maturità, Alta vulnerabilità"
Cyprus,0.6673105655280407,-0.9250643065684008,12.91,"Best performers (Alta maturità, Bassa vulnerabilità)"
Poland,0.537968718237901,1.6831518142201525,32.47,"Alta maturità, Alta vulnerabilità"
Germany,0.5279764409717753,0.6964033840649739,25.07,"Alta maturità, Alta vulnerabilità"
Sweden,0.5191590645896129,0.0736851180075839,20.4,"Alta maturità, Alta vulnerabilità"
Ireland,0.18398280396292416,-0.8703931097625057,13.32,"Best performers (Alta maturità, Bassa vulnerabilità)"
Luxembourg,0.16046356307724735,-0.4236894285436071,16.67,"Best performers (Alta maturità, Bassa vulnerabilità)"
Czechia,0.12192169887650794,0.9017537330432137,26.61,"Alta maturità, Alta vulnerabilità"
Portugal,0.06947072398450477,-0.9584004021817514,12.66,"Best performers (Alta maturità, Bassa vulnerabilità)"
Austria,0.05728543129331416,-1.1104129981786304,11.52,"Best performers (Alta maturità, Bassa vulnerabilità)"
Hungary,0.012633255177951441,-0.8210556882547468,13.69,"Best performers (Alta maturità, Bassa vulnerabilità)"
Estonia,-0.18206343223117577,0.15502519130415984,21.01,"Vulnerabili (Bassa maturità, Alta vulnerabilità)"
Slovenia,-0.27263474302568996,-1.1050792228804942,11.56,"Bassa maturità, Bassa vulnerabilità"
Slovakia,-0.5316802533604461,-1.0077378236895105,12.29,"Bassa maturità, Bassa vulnerabilità"
Spain,-0.55468866080487,-0.5290314906817952,15.88,"Bassa maturità, Bassa vulnerabilità"
Italy,-0.7857180347632094,-0.5423659289271356,15.78,"Bassa maturità, Bassa vulnerabilità"
France,-0.8457392705565847,0.6804020581705654,24.95,"Vulnerabili (Bassa maturità, Alta vulnerabilità)"
Greece,-0.8780342075307047,-0.571701693066884,15.56,"Bassa maturità, Bassa vulnerabilità"
Croatia,-0.9058793553747073,0.8337480979919787,26.1,"Vulnerabili (Bassa maturità, Alta vulnerabilità)"
Latvia,-1.0022282186975282,-0.6423742157671876,15.03,"Bassa maturità, Bassa vulnerabilità"
Lithuania,-1.1124797474567294,-0.6450411034162555,15.01,"Bassa maturità, Bassa vulnerabilità"
Bulgaria,-1.3181974232703069,-1.037073587829259,12.07,"Bassa maturità, Bassa vulnerabilità"
Romania,-1.5456526336663319,1.0017620198832655,27.36,"Vulnerabili (Bassa maturità, Alta vulnerabilità)"
